Date,America,France,Britain,Italy,China,Germany
2016/8/23,-11.78330831,-18.62077119,35.83721373,-40.92109393,17.52716084,17.96079885
2016/8/24,-13.15086789,-22.76426165,43.53679018,-40.50709391,15.69024597,17.1951873
2016/8/25,-14.37843827,-18.13553764,40.10959445,-40.31653527,14.69784921,18.02306752
2016/8/26,-15.14119864,-17.26475307,39.75936122,-40.00346129,14.68518266,17.96486913
2016/8/29,-18.05896708,-10.65832314,32.19300365,-38.60027132,17.54606426,17.57849362
2016/8/30,-10.84980217,-20.30388746,34.40563887,-38.76794837,19.51527365,16.00072547
2016/8/31,-11.69765802,-15.45225282,29.13392905,-39.85470139,21.48419657,16.38648661
2016/9/1,-7.299743449,-9.594230461,23.30625936,-41.7619018,21.44005952,13.90955683
2016/9/2,-6.853307784,-10.34281314,26.49508542,-41.65960396,19.06350454,13.29713493
2016/9/6,-0.775233135,-10.09291927,24.02280106,-42.20994555,17.13720209,11.91809481
2016/9/7,-0.622888898,-6.909243607,19.63934828,-45.24918208,20.39017729,12.75178901
2016/9/8,-5.635897376,-5.323430316,18.9192449,-44.32074318,23.39487888,12.96594709
2016/9/9,-4.715668493,-7.990880811,22.08207403,-45.0449245,24.10053162,11.56886815
2016/9/12,-7.237959641,-8.332013258,23.46552319,-44.85155797,24.97064882,11.98535886
2016/9/13,-8.173616926,-7.652462196,23.45168131,-44.66024315,25.50648188,11.52815908
2016/9/14,-7.652450118,-7.012708219,20.97404172,-44.39789818,26.06526281,12.02375199
2016/9/15,-7.867213372,-5.131565306,17.40496249,-41.7217304,26.59755474,10.71799185
2016/9/16,-7.179186976,-11.07306163,16.21801102,-38.65131951,27.47106226,13.21449484
2016/9/19,-6.733502113,-10.98712832,12.68323295,-34.30470414,26.5130248,12.82907683
2016/9/20,-9.50190764,-11.39554547,15.34301899,-33.28752888,25.78960675,13.05235625
2016/9/21,-10.15276769,-10.42470034,20.16937981,-38.26687514,26.25274547,12.42221788
2016/9/22,-5.059819321,-7.79390821,24.68740327,-45.3233863,22.62577197,10.86393858
2016/9/23,-4.038264644,-8.01459901,25.23504223,-45.45010422,22.78407163,9.483854013
2016/9/26,-4.265221201,-2.105070049,18.74499318,-40.01356975,17.6227589,10.01610892
2016/9/27,-3.803502201,0.188103742,20.40082454,-43.57134147,20.40270446,6.383210928
2016/9/28,-2.776746874,-0.508652443,18.00298314,-42.11160427,19.52544976,7.868570683
2016/9/29,-2.17400281,2.33003304,15.14782584,-41.75877843,19.17107087,7.283851488
2016/9/30,0.188866987,4.793582701,17.78988224,-42.0859254,16.31229962,3.001293863
2016/10/3,1.086410985,6.151147393,12.5871931,-40.91188396,16.78536595,4.301766528
2016/10/4,-1.058343354,7.613329971,16.06609143,-40.0652088,16.46687109,0.977259661
2016/10/5,-0.238381899,7.994770457,12.50184825,-38.19592846,15.53686808,2.400823574
2016/10/6,-2.45132594,11.66843364,11.86757309,-36.60665348,13.0467189,2.475253779
2016/10/7,-6.637526916,20.56311246,13.7795941,-40.26592042,14.83997867,-2.279237889
2016/10/10,-5.262505803,31.26489331,11.66039685,-43.4829889,13.53962098,-7.719416432
2016/10/11,-1.309122554,38.34558356,11.5694494,-46.63810654,10.83879337,-12.80659724
2016/10/12,-1.700337864,38.34251559,16.73760897,-46.74238025,9.159523265,-15.79692971
2016/10/13,6.617746866,36.10198309,15.63149633,-47.90960463,8.650397873,-19.09201953
2016/10/14,6.077744895,37.31252778,16.18234678,-49.30160639,7.897350185,-18.16836324
2016/10/17,2.90621564,38.24473933,16.65040167,-48.8544384,7.24152296,-16.1884412
2016/10/18,3.987238826,39.97056336,16.42082923,-49.45833668,6.75872072,-17.67901546
2016/10/19,3.004416004,39.77630319,17.17019044,-49.6591219,6.84696179,-17.13874952
2016/10/20,6.437031881,38.90276018,18.5825688,-50.33525886,5.666590411,-19.25369242
2016/10/21,4.898003277,43.53827919,17.34275051,-52.70043767,5.907522285,-18.98611759
2016/10/24,5.48837551,41.55940322,17.94532676,-53.01472128,6.364270248,-18.34265447
2016/10/25,8.108635842,37.26508879,20.24353997,-53.54381329,6.175908361,-18.24935967
2016/10/26,12.51602729,42.98481586,19.51272148,-54.96540489,3.804579152,-23.85273889
2016/10/27,16.55869537,33.02259471,19.08368739,-54.62036838,4.078952233,-18.12356132
2016/10/28,17.57370737,31.93891504,18.47419002,-53.99429241,4.167069667,-18.15958969
2016/10/31,22.13368792,51.74018612,14.86830335,-59.06215158,2.382739753,-32.06276556
2016/11/1,27.84850646,61.11312514,14.23890769,-61.10668169,0.290769843,-42.38462744
2016/11/2,13.08466745,46.82412283,24.16034083,-52.24875259,0.06267499,-31.88305351
2016/11/3,6.894014872,40.57517626,26.41955519,-49.24793406,4.781094016,-29.42190628
2016/11/4,4.08072061,36.44064514,27.45642426,-46.92228154,5.935792309,-26.99130077
2016/11/7,5.766492115,33.7980549,27.17761569,-50.19459215,6.82333356,-23.37090411
2016/11/8,7.0538532,35.77722673,28.78529051,-50.77592515,6.263166114,-27.10361139
2016/11/9,3.270872931,27.35809576,33.31968282,-51.0849755,8.582186249,-21.44586227
